id,urun,magaza,tarih,saat,durum,guven,dosya
konum12_153621_024_0.38,Ananas,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Ananas\konum12_153621_024_0.38.jpg
konum12_153621_044_0.25,Ananas,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Ananas\konum12_153621_044_0.25.jpg
konum16_153745_056_0.70,Ananas,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Ananas\konum16_153745_056_0.70.jpg
konum16_153745_103_0.38,Ananas,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Ananas\konum16_153745_103_0.38.jpg
konum16_153745_129_0.26,Ananas,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Ananas\konum16_153745_129_0.26.jpg
konum16_153745_130_0.26,Ananas,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Ananas\konum16_153745_130_0.26.jpg
konum12_153621_001_0.81,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum12_153621_001_0.81.jpg
konum12_153621_005_0.70,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,çürük,0.9,crops\camera_002\2025-10-24\17\Armut\konum12_153621_005_0.70.jpg
konum12_153621_008_0.64,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum12_153621_008_0.64.jpg
konum12_153621_010_0.59,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum12_153621_010_0.59.jpg
konum12_153621_011_0.59,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum12_153621_011_0.59.jpg
konum12_153621_022_0.40,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum12_153621_022_0.40.jpg
konum12_153621_036_0.28,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum12_153621_036_0.28.jpg
konum12_153621_042_0.26,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum12_153621_042_0.26.jpg
konum12_153621_045_0.25,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum12_153621_045_0.25.jpg
konum13_153642_013_0.47,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum13_153642_013_0.47.jpg
konum13_153642_014_0.45,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum13_153642_014_0.45.jpg
konum13_153642_015_0.44,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum13_153642_015_0.44.jpg
konum13_153642_019_0.31,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum13_153642_019_0.31.jpg
konum13_153642_020_0.31,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum13_153642_020_0.31.jpg
konum14_153703_005_0.71,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_005_0.71.jpg
konum14_153703_007_0.66,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_007_0.66.jpg
konum14_153703_008_0.63,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_008_0.63.jpg
konum14_153703_009_0.62,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_009_0.62.jpg
konum14_153703_014_0.59,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_014_0.59.jpg
konum14_153703_017_0.56,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_017_0.56.jpg
konum14_153703_018_0.52,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_018_0.52.jpg
konum14_153703_021_0.50,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_021_0.50.jpg
konum14_153703_022_0.49,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_022_0.49.jpg
konum14_153703_027_0.47,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_027_0.47.jpg
konum14_153703_034_0.42,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_034_0.42.jpg
konum14_153703_036_0.40,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_036_0.40.jpg
konum14_153703_041_0.39,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_041_0.39.jpg
konum14_153703_043_0.38,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_043_0.38.jpg
konum14_153703_046_0.35,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_046_0.35.jpg
konum14_153703_048_0.35,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_048_0.35.jpg
konum14_153703_049_0.34,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_049_0.34.jpg
konum14_153703_050_0.32,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_050_0.32.jpg
konum14_153703_051_0.32,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_051_0.32.jpg
konum14_153703_056_0.30,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_056_0.30.jpg
konum14_153703_057_0.30,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,çürük,0.92,crops\camera_002\2025-10-24\17\Armut\konum14_153703_057_0.30.jpg
konum14_153703_058_0.30,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_058_0.30.jpg
konum14_153703_059_0.28,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_059_0.28.jpg
konum14_153703_064_0.26,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum14_153703_064_0.26.jpg
konum15_153724_047_0.56,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum15_153724_047_0.56.jpg
konum20_153908_010_0.32,Armut,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Armut\konum20_153908_010_0.32.jpg
konum14_153703_062_0.27,Avokado,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Avokado\konum14_153703_062_0.27.jpg
konum14_153703_066_0.26,Avokado,Carrefoursa Maltepe,2025-10-24,17:00:00,sağlıklı,,crops\camera_002\2025-10-24\17\Avokado\konum14_153703_066_0.26.jpg
